Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
MIN,20242025,8470594,Marc-Andre,Fleury,29,G,Sorel,CAN,46.044404,-73.104744
STL,20242025,8470600,Ryan,Suter,22,D,Madison,USA,43.074761,-89.3837613
CAR,20242025,8470613,Brent,Burns,8,D,Barrie,CAN,44.3893208,-79.6901302
EDM,20242025,8470621,Corey,Perry,90,R,Peterborough,CAN,44.3048009,-78.3199496
WSH,20242025,8471214,Alex,Ovechkin,8,L,Moscow,RUS,55.7505412,37.6174782
PIT,20242025,8471215,Evgeni,Malkin,71,C,Magnitogorsk,RUS,53.4256867,59.0507322
PIT,20242025,8471675,Sidney,Crosby,87,C,Cole Harbour,CAN,44.6736008,-63.4877299
CBJ,20242025,8471677,Jack,Johnson,3,D,Indianapolis,USA,39.7683331,-86.1583502
LAK,20242025,8471685,Anze,Kopitar,11,C,Jesenice,SLO,46.4323726,14.062333
WSH,20242025,8471698,T.J.,Oshie,77,R,Everett,USA,47.9793437,-122.2127011
PIT,20242025,8471724,Kris,Letang,58,D,Montréal,CAN,45.5031824,-73.5698065
NYR,20242025,8471734,Jonathan,Quick,32,G,Milford,USA,41.2222218,-73.0570603
TOR,20242025,8471817,Ryan,Reaves,75,R,Winnipeg,CAN,49.8955367,-97.1384584
BOS,20242025,8473419,Brad,Marchand,63,L,Halifax,CAN,44.648618,-63.5859487
CHI,20242025,8473422,Nick,Foligno,17,L,Buffalo,USA,42.8867166,-78.8783922
PHI,20242025,8473446,Erik,Johnson,77,D,Bloomington,USA,39.1670396,-86.5342881
LAK,20242025,8473453,Trevor,Lewis,61,C,Salt Lake City,USA,40.7596198,-111.886797
ANA,20242025,8473503,James,Reimer,0,G,Morweena,CAN,50.9934677,-97.4087843
DET,20242025,8473507,Jeff,Petry,46,D,Ann Arbor,USA,42.2813722,-83.7484616
OTT,20242025,8473512,Claude,Giroux,28,R,Hearst,CAN,49.690732,-83.666382
CAR,20242025,8473533,Jordan,Staal,11,C,Thunder Bay,CAN,48.406414,-89.259796
WSH,20242025,8473563,Nicklas,Backstrom,19,C,Gavle,SWE,60.6750132,17.1467019
NYI,20242025,8473575,Semyon,Varlamov,40,G,Samara,RUS,53.2194648,50.2039316
ANA,20242025,8473986,Alex,Killorn,17,L,Halifax,CAN,44.648618,-63.5859487
DAL,20242025,8473994,Jamie,Benn,14,L,Victoria,CAN,48.4283182,-123.364953
UTA,20242025,8474013,Ian,Cole,28,D,Ann Arbor,USA,42.2813722,-83.7484616
CHI,20242025,8474034,Patrick,Maroon,77,L,St. Louis,USA,38.6280278,-90.1910154
CBJ,20242025,8474037,James,van Riemsdyk,21,L,Middletown,USA,41.5623178,-72.6509061
SJS,20242025,8474053,Logan,Couture,39,C,Guelph,CAN,43.5460516,-80.2493276
DAL,20242025,8474090,Brendan,Smith,2,D,Mimico,CAN,43.6166773,-79.4968048
OTT,20242025,8474102,David,Perron,57,L,Sherbrooke,CAN,45.403271,-71.889038
DET,20242025,8474141,Patrick,Kane,88,R,Buffalo,USA,42.8867166,-78.8783922
UTA,20242025,8474145,Robert,Bortuzzo,41,D,Thunder Bay,CAN,48.406414,-89.259796
DAL,20242025,8474149,Evgenii,Dadonov,63,R,Chelyabinsk,RUS,55.1559312,61.4012726
CGY,20242025,8474150,Mikael,Backlund,11,C,Vasteras,SWE,59.6110992,16.5463679
TBL,20242025,8474151,Ryan,McDonagh,27,D,St. Paul,USA,44.9497487,-93.0931028
TOR,20242025,8474157,Max,Pacioretty,67,L,New Canaan,USA,41.146763,-73.4948446
CHI,20242025,8474166,Alec,Martinez,25,D,Rochester Hills,USA,42.6583661,-83.1499322
PIT,20242025,8474189,Lars,Eller,20,C,Rodovre,DEN,55.6648012,12.4591846
LAK,20242025,8474563,Drew,Doughty,8,D,London,CAN,42.9832406,-81.243372
NSH,20242025,8474564,Steven,Stamkos,91,C,Markham,CAN,43.8563707,-79.3376825
VGK,20242025,8474565,Alex,Pietrangelo,7,D,King City,CAN,43.929489,-79.5252267
MIN,20242025,8474567,Zach,Bogosian,24,D,Massena,USA,41.253887,-94.7690678
NSH,20242025,8474568,Luke,Schenn,2,D,Saskatoon,CAN,52.131802,-106.660767
VAN,20242025,8474574,Tyler,Myers,57,D,Houston,USA,29.7589382,-95.3676974
PIT,20242025,8474578,Erik,Karlsson,65,D,Landsbro,SWE,57.3696208,14.9013204
SEA,20242025,8474586,Jordan,Eberle,7,R,Regina,CAN,50.4479733,-104.6158764
WSH,20242025,8474590,John,Carlson,74,D,Natick,USA,42.2836393,-71.346996
NJD,20242025,8474593,Jacob,Markstrom,25,G,Gavle,SWE,60.6750132,17.1467019
NJD,20242025,8474596,Jake,Allen,34,G,Fredericton,CAN,45.963233,-66.6432356
NSH,20242025,8474600,Roman,Josi,59,D,Bern,SUI,46.9484742,7.4521749
OTT,20242025,8474612,Travis,Hamonic,23,D,St. Malo,CAN,49.314695,-96.9538228
EDM,20242025,8474641,Adam,Henrique,19,C,Brantford,CAN,43.1408157,-80.2631733
CHI,20242025,8474673,TJ,Brodie,78,D,Chatham,CAN,42.4057219,-82.1853837
NSH,20242025,8474679,Gustav,Nyquist,14,C,Halmstad,SWE,56.6739826,12.8574827
TBL,20242025,8474715,Cam,Atkinson,13,R,Riverside,USA,33.9824949,-117.374238
MIN,20242025,8474716,Jared,Spurgeon,46,D,Edmonton,CAN,53.5462055,-113.491241
